feature_name,X,Y,Z,coord,val,strike,dip,gx,gy,gz,intrusion_contact_type,intrusion_side,intrusion_anisotropy
fault_1,513243.74,5261720.04,158,0,0,,,,,,,,
fault_1,513912.01,5260856.86,161,0,0,,,,,,,,
fault_1,513165.78,5261937.23,162,0,0,,,,,,,,
fault_1,513609.42,5261216.16,194,0,0,,,,,,,,
fault_1,513405.24,5261436.03,221,0,0,,,,,,,,
fault_1,512681.28,5262599.93,261,0,0,,,,,,,,
fault_1,512920.74,5262276.93,263,0,0,,,,,,,,
fault_1,512920.74,5262276.93,263,1,0,,,,,,,,
fault_1,512336.01,5262961.9,274,0,0,,,,,,,,
fault_1,512102.12,5263195.8,297,0,0,,,,,,,,
fault_1,511668.45,5263582.16,301,0,0,,,,,,,,
fault_1,512920.74,5262276.93,263,0,,,,-0.83,-0.54,0.17,,,
fault_1,512920.74,5262276.93,263,1,,,,-0.15,-0.09,-0.98,,,
fault_2,518940.81,5255379.62,200,0,0,,,,,,,,
fault_2,519037.49,5255333.59,200,0,0,,,,,,,,
fault_2,518600.13,5255517.74,256,0,0,,,,,,,,
fault_2,515633.01,5256528.26,305,0,0,,,,,,,,
fault_2,515633.01,5256528.26,305,1,0,,,,,,,,
fault_2,515112.79,5256740.03,334,0,0,,,,,,,,
fault_2,518229.53,5255625.92,336,0,0,,,,,,,,
fault_2,516272.93,5256334.9,354,0,0,,,,,,,,
fault_2,514592.56,5256988.63,361,0,0,,,,,,,,
fault_2,514348.56,5257122.14,412,0,0,,,,,,,,
fault_2,513625.77,5257375.35,416,0,0,,,,,,,,
fault_2,514141.4,5257205.01,423,0,0,,,,,,,,
fault_2,517994.74,5255722.6,427,0,0,,,,,,,,
fault_2,517930.28,5255759.43,454,0,0,,,,,,,,
fault_2,511614.76,5257865.83,478,0,0,,,,,,,,
fault_2,511682.46,5257820.29,483,0,0,,,,,,,,
fault_2,516866.82,5256173.77,485,0,0,,,,,,,,
fault_2,513110.15,5257481.24,495,0,0,,,,,,,,
fault_2,512083.2,5257716.12,506,0,0,,,,,,,,
fault_2,512310.67,5257705.49,514,0,0,,,,,,,,
fault_2,517759.94,5255865.32,532,0,0,,,,,,,,
fault_2,511853.93,5257722.33,549,0,0,,,,,,,,
fault_2,517216.7,5256095.51,573,0,0,,,,,,,,
fault_2,517561.98,5255989.62,592,0,0,,,,,,,,
fault_2,515633.01,5256528.26,305,1,,,,0.06,0.16,-0.98,,,
fault_2,515112.79,5256740.03,334,0,,,,0.34,0.93,0.17,,,
fault_3a,519834.68,5260809.7,41,0,0,,,,,,,,
fault_3a,519736.42,5261202.76,56,0,0,,,,,,,,
fault_3a,519783.5,5260431.07,56,0,0,,,,,,,,
fault_3a,516769.2,5267002.65,61,0,0,,,,,,,,
fault_3a,516896.86,5266819.56,62,0,0,,,,,,,,
fault_3a,519555,5262238.32,64,0,0,,,,,,,,
fault_3a,519691.06,5261724.32,65,0,0,,,,,,,,
fault_3a,519063.68,5263215.3,70,0,0,,,,,,,,
fault_3a,519305.56,5262867.59,77,0,0,,,,,,,,
fault_3a,519305.56,5262867.59,77,1,0,,,,,,,,
fault_3a,519728.86,5260023.58,84,0,0,,,,,,,,
fault_3a,519728.86,5259759.02,92,0,0,,,,,,,,
fault_3a,518708.41,5263563.01,100,0,0,,,,,,,,
fault_3a,517952.53,5265552.88,102,0,0,,,,,,,,
fault_3a,519863.86,5259422.29,102,0,0,,,,,,,,
fault_3a,518025.65,5265196.93,104,0,0,,,,,,,,
fault_3a,520099.24,5259093.84,105,0,0,,,,,,,,
fault_3a,517316.8,5266129.19,120,0,0,,,,,,,,
fault_3a,518008.85,5265109.58,120,0,0,,,,,,,,
fault_3a,518043.23,5265038.87,125,0,0,,,,,,,,
fault_3a,518149.06,5264789.43,125,0,0,,,,,,,,
fault_3a,518406.06,5264419.05,135,0,0,,,,,,,,
fault_3a,519305.56,5262867.59,77,0,,,,0.85,0.49,0.17,,,
fault_3a,519305.56,5262867.59,77,1,,,,0.15,0.09,-0.98,,,
fault_3b,521364.98,5257650.67,40,0,0,,,,,,,,
fault_3b,521096.22,5258181.47,47,0,0,,,,,,,,
fault_3b,521818.51,5256805.76,47,0,0,,,,,,,,
fault_3b,521878.98,5256325.36,60,0,0,,,,,,,,
fault_3b,521996.56,5255881.9,88,0,0,,,,,,,,
fault_3b,520567.89,5258874.63,99,0,0,,,,,,,,
fault_3b,522826.36,5254105.57,100,0,0,,,,,,,,
fault_3b,522147.74,5255285.59,102,0,0,,,,,,,,
fault_3b,523827.49,5251097.15,102,0,0,,,,,,,,
fault_3b,522147.74,5255285.59,102,1,0,,,,,,,,
fault_3b,520908.04,5258594.95,105,0,0,,,,,,,,
fault_3b,523713.26,5251322.24,120,0,0,,,,,,,,
fault_3b,522812.92,5254354.18,125,0,0,,,,,,,,
fault_3b,522906.99,5253537.82,147,0,0,,,,,,,,
fault_3b,522258.6,5254892.53,149,0,0,,,,,,,,
fault_3b,522413.14,5254727.92,161,0,0,,,,,,,,
fault_3b,523528.49,5251651.47,166,0,0,,,,,,,,
fault_3b,523444.5,5251846.32,184,0,0,,,,,,,,
fault_3b,523115.27,5253280.82,189,0,0,,,,,,,,
fault_3b,523216.06,5252901.2,192,0,0,,,,,,,,
fault_3b,523300.05,5252541.73,236,0,0,,,,,,,,
fault_3b,523377.31,5252202.42,243,0,0,,,,,,,,
fault_3b,522147.74,5255285.59,102,0,,,,0.97,0.19,0.17,,,
fault_3b,522147.74,5255285.59,102,1,,,,0.17,0.03,-0.98,,,
fault_3c,523679.67,5250667.14,130,0,0,,,,,,,,
fault_3c,522990.97,5249196.52,177,0,0,,,,,,,,
fault_3c,522802.84,5248931.12,193,0,0,,,,,,,,
fault_3c,522658.38,5248753.07,210,0,0,,,,,,,,
fault_3c,522658.38,5248753.07,210,1,0,,,,,,,,
fault_3c,523310.12,5250062.43,214,0,0,,,,,,,,
fault_3c,521425.45,5246878.47,254,0,0,,,,,,,,
fault_3c,522386.27,5248588.45,257,0,0,,,,,,,,
fault_3c,521593.43,5247076.68,265,0,0,,,,,,,,
fault_3c,522261.96,5248487.67,273,0,0,,,,,,,,
fault_3c,521717.73,5247392.47,316,0,0,,,,,,,,
fault_3c,522114.15,5248265.94,338,0,0,,,,,,,,
fault_3c,521855.47,5247731.78,372,0,0,,,,,,,,
fault_3c,522033.52,5248091.25,378,0,0,,,,,,,,
fault_3c,522658.38,5248753.07,210,0,,,,0.63,-0.75,0.17,,,
fault_3c,522658.38,5248753.07,210,1,,,,0.11,-0.13,-0.98,,,
fault_3d,522311.8,5243804.33,80,0,0,,,,,,,,
fault_3d,522371.23,5242999.23,101,0,0,,,,,,,,
fault_3d,522293.36,5242847.21,101,0,0,,,,,,,,
fault_3d,522371.23,5242999.23,101,1,0,,,,,,,,
fault_3d,522355.82,5243967.22,102,0,0,,,,,,,,
fault_3d,522276.58,5243632.64,103,0,0,,,,,,,,
fault_3d,522342.62,5243077.93,114,0,0,,,,,,,,
fault_3d,522240.76,5242748.29,115,0,0,,,,,,,,
fault_3d,522285.38,5243236.42,116,0,0,,,,,,,,
fault_3d,522241.36,5243504.97,123,0,0,,,,,,,,
fault_3d,522280.98,5244116.91,129,0,0,,,,,,,,
fault_3d,522168.95,5242621.68,129,0,0,,,,,,,,
fault_3d,522241.36,5243403.71,135,0,0,,,,,,,,
fault_3d,522182.18,5242461.06,141,0,0,,,,,,,,
fault_3d,522189.74,5242317.44,158,0,0,,,,,,,,
fault_3d,522223.75,5244328.23,160,0,0,,,,,,,,
fault_3d,522197.29,5241933.83,170,0,0,,,,,,,,
fault_3d,522195.4,5242147.37,174,0,0,,,,,,,,
fault_3d,522197.33,5244535.14,187,0,0,,,,,,,,
fault_3d,522371.23,5242999.23,101,0,,,,0.98,0,0.17,,,
fault_3d,522371.23,5242999.23,101,1,,,,0.17,0,-0.98,,,
fault_3e,523353.33,5239008.08,45,0,0,,,,,,,,
fault_3e,522960.27,5240844.88,74,0,0,,,,,,,,
fault_3e,523194.59,5239590.11,81,0,0,,,,,,,,
fault_3e,523103.88,5239990.73,85,0,0,,,,,,,,
fault_3e,522930.03,5241305.97,87,0,0,,,,,,,,
fault_3e,522907.35,5241668.8,93,0,0,,,,,,,,
fault_3e,523028.3,5240308.2,95,0,0,,,,,,,,
fault_3e,523028.3,5240308.2,95,1,0,,,,,,,,
fault_3e,523028.3,5240308.2,95,0,,,,0.97,0.17,0.17,,,
fault_3e,523028.3,5240308.2,95,1,,,,0.17,0.03,-0.98,,,
fault_3f,521617.55,5239509.71,125,0,0,,,,,,,,
